2021-07-10 13:16:01 INFO  BubbleSort:24 - Bubble steps
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
2021-07-10 13:16:02 INFO  SortVariant:28 - Change position
